Student_ID,Sleep_Hours,Assignment_Count,Screen_Time_Hours,Attendance_Percentage,Study_Hours,Social_Media_Usage_Hours,Burnout_Score,Stress_Level
STU02944,3.8,13,3.2,81,8.7,7.0,55.2,Medium
STU02945,8.1,12,5.1,52,2.8,7.7,46.7,Medium
STU02946,8.2,5,8.5,47,2.4,4.6,34.6,Low
STU02947,4.3,12,6.0,80,1.2,4.8,48.0,Medium
STU02948,8.1,3,9.3,66,6.5,1.9,32.8,Low
STU02949,7.5,11,1.4,56,9.0,7.9,52.5,Medium
STU02950,7.0,13,2.2,89,7.6,4.4,45.7,Medium
STU02951,4.9,1,2.0,45,1.9,5.0,25.2,Low
STU02952,4.6,8,10.3,76,8.5,4.1,58.1,Medium
STU02953,5.5,6,4.1,92,9.7,3.0,45.3,Medium
STU02954,6.6,1,11.0,60,4.8,4.5,35.4,Medium
STU02955,4.6,8,9.8,53,4.0,5.6,51.6,Medium
STU02956,7.4,7,10.1,96,8.1,1.1,41.9,Medium
STU02957,6.5,8,9.7,43,5.4,6.8,50.7,Medium
STU02958,5.0,13,2.4,58,6.0,3.2,45.8,Medium
STU02959,5.7,2,8.3,40,5.2,2.1,40.0,Medium
STU02960,6.7,10,1.6,99,7.7,6.7,37.5,Medium
STU02961,3.6,6,9.2,59,1.2,7.6,53.0,Medium
STU02962,6.7,0,5.1,84,6.5,4.9,25.3,Low
STU02963,6.6,10,9.3,51,9.5,3.6,52.7,Medium
STU02964,5.5,8,8.8,55,7.2,2.3,45.5,Medium
STU02965,6.9,5,1.1,73,8.5,4.8,33.6,Low
STU02966,8.3,10,9.6,79,1.6,4.3,37.5,Medium
STU02967,7.3,14,7.6,46,6.7,7.0,55.7,Medium
STU02968,8.0,1,7.4,89,5.1,5.5,27.2,Low
STU02969,4.4,8,8.8,70,6.7,2.5,50.8,Medium
STU02970,5.3,2,8.2,89,6.5,4.6,37.0,Medium
STU02971,3.8,3,8.4,71,1.1,4.2,32.8,Low
STU02972,3.6,4,4.7,40,6.1,4.7,42.3,Medium
STU02973,6.1,11,4.6,98,6.6,2.8,46.8,Medium
STU02974,3.8,1,1.8,84,3.5,6.1,30.4,Low
STU02975,4.4,0,11.2,60,1.5,4.5,36.1,Medium
STU02976,4.4,10,11.7,56,4.5,7.1,62.4,Medium
STU02977,4.2,10,6.6,78,7.4,2.7,49.8,Medium
STU02978,7.7,0,7.9,71,0.6,3.9,26.0,Low
STU02979,7.1,3,3.8,88,9.7,7.8,35.6,Medium
STU02980,5.5,7,2.2,90,6.1,3.2,31.7,Low
STU02981,8.6,14,9.5,40,1.0,2.5,47.6,Medium
STU02982,8.0,6,7.1,91,6.8,6.4,36.8,Medium
STU02983,9.3,4,5.9,59,5.0,1.0,23.1,Low
STU02984,4.9,2,6.8,99,4.1,4.2,34.9,Low
STU02985,8.2,2,2.9,58,9.3,2.0,25.5,Low
STU02986,5.0,10,2.7,55,8.2,4.2,47.0,Medium
STU02987,6.9,8,6.1,58,7.1,3.0,45.4,Medium
STU02988,4.0,13,5.7,76,9.1,3.4,60.1,Medium
STU02989,6.5,2,1.7,53,4.9,1.2,22.6,Low
STU02990,6.3,7,8.8,70,4.5,2.5,45.7,Medium
STU02991,7.4,4,5.8,53,6.9,6.3,39.3,Medium
STU02992,4.3,13,7.0,63,2.8,1.2,50.7,Medium
STU02993,6.1,11,7.5,93,9.7,4.8,54.8,Medium
STU02994,4.3,11,2.4,46,9.2,0.7,50.4,Medium
STU02995,8.7,1,4.2,88,3.3,3.7,17.3,Low
STU02996,6.6,1,12.0,72,1.8,0.7,26.0,Low
STU02997,8.8,13,9.7,93,6.7,7.6,54.6,Medium
STU02998,7.3,9,3.9,88,2.8,6.2,36.2,Medium
STU02999,6.2,15,4.2,60,4.1,6.6,50.1,Medium
STU03000,8.1,4,8.0,52,4.7,3.3,31.1,Low
STU03001,3.7,13,11.8,79,9.3,2.5,67.7,High
STU03002,8.1,12,6.2,62,6.3,6.5,52.3,Medium
STU03003,3.5,7,3.0,55,1.8,1.6,40.3,Medium
STU03004,9.0,6,8.6,70,9.5,4.1,41.6,Medium
STU03005,7.1,15,5.1,58,5.5,0.9,44.1,Medium
STU03006,7.3,13,5.4,48,4.8,3.3,45.3,Medium
STU03007,6.1,8,10.5,92,0.7,4.3,41.0,Medium
STU03008,5.0,10,6.3,55,8.6,6.6,59.7,Medium
STU03009,3.8,3,6.9,72,5.5,2.6,41.7,Medium
STU03010,5.5,3,4.5,73,6.9,2.0,29.7,Low
STU03011,4.2,7,11.4,82,2.6,6.9,44.8,Medium
STU03012,5.8,13,5.4,65,3.5,6.4,47.8,Medium
STU03013,7.5,7,9.8,91,9.5,7.5,53.9,Medium
STU03014,3.8,14,9.5,41,5.9,4.6,64.3,Medium
STU03015,5.2,9,9.3,55,3.3,2.5,45.8,Medium
STU03016,9.5,3,9.7,48,3.8,2.7,32.1,Low
STU03017,7.9,10,8.2,63,7.0,7.8,52.4,Medium
STU03018,6.0,7,11.9,97,3.6,0.6,38.9,Medium
STU03019,8.8,5,6.6,76,4.1,7.4,33.3,Low
STU03020,8.0,11,5.8,75,4.8,3.6,44.4,Medium
STU03021,7.3,10,8.6,82,9.9,1.6,50.0,Medium
STU03022,8.0,3,10.5,78,3.1,5.7,35.6,Medium
STU03023,9.2,12,10.8,95,4.8,4.4,48.9,Medium
STU03024,4.5,12,2.1,56,6.5,5.8,50.4,Medium
STU03025,4.3,12,9.3,61,1.6,3.3,53.6,Medium
STU03026,7.4,5,8.8,84,1.6,2.4,25.8,Low
STU03027,7.5,7,1.1,85,7.9,5.0,31.1,Low
STU03028,7.6,14,6.2,72,6.3,3.1,44.6,Medium
STU03029,9.5,2,2.3,82,2.2,2.6,14.6,Low
STU03030,4.2,2,11.4,96,5.3,1.9,38.2,Medium
STU03031,4.9,9,9.3,94,7.8,2.2,46.9,Medium
STU03032,5.4,9,11.0,64,3.7,5.0,47.4,Medium
STU03033,7.5,7,2.5,78,2.5,6.7,31.2,Low
STU03034,6.2,11,7.6,61,7.2,6.9,53.0,Medium
STU03035,6.8,4,11.1,40,2.4,1.8,38.3,Medium
STU03036,4.7,9,10.6,85,4.9,4.8,49.1,Medium
STU03037,7.0,4,10.9,100,3.9,6.6,37.3,Medium
STU03038,5.4,8,5.3,41,5.1,6.9,46.4,Medium
STU03039,7.2,9,4.3,86,4.0,7.3,39.3,Medium
STU03040,6.6,4,2.6,46,7.2,6.6,40.0,Medium
STU03041,4.2,0,2.4,98,7.0,4.6,31.3,Low
STU03042,8.1,15,11.6,55,1.4,1.8,47.8,Medium
STU03043,5.9,6,9.4,46,3.0,1.9,42.2,Medium
STU03044,4.7,7,1.2,53,2.6,2.8,38.1,Medium
STU03045,8.5,4,4.3,65,4.7,6.9,29.1,Low
STU03046,6.6,11,3.0,77,6.7,3.2,38.0,Medium
STU03047,8.4,13,10.7,88,8.8,4.6,56.4,Medium
STU03048,4.6,14,7.1,61,7.7,7.3,67.8,High
STU03049,5.9,9,4.1,97,9.1,8.0,47.1,Medium
STU03050,9.4,12,1.8,62,4.1,5.6,36.7,Medium
STU03051,8.8,15,6.9,42,7.9,0.9,50.4,Medium
STU03052,7.4,11,10.2,80,7.9,3.9,48.3,Medium
STU03053,4.8,3,3.5,43,0.8,6.4,34.2,Low
STU03054,8.9,14,9.8,90,7.4,7.8,54.0,Medium
STU03055,5.4,10,9.8,50,7.5,5.9,55.6,Medium
STU03056,5.3,4,6.7,81,1.6,2.3,28.7,Low
STU03057,7.5,3,7.6,54,0.6,2.5,23.9,Low
STU03058,7.2,13,6.4,88,4.6,6.6,52.6,Medium
STU03059,4.7,12,8.4,58,8.5,7.6,62.6,Medium
STU03060,8.3,15,1.4,96,1.6,2.4,32.6,Low
STU03061,9.5,11,2.0,84,9.0,3.7,38.1,Medium
STU03062,6.7,7,1.5,57,3.6,4.8,37.8,Medium
STU03063,8.0,15,4.8,89,5.2,1.1,39.1,Medium
STU03064,3.5,6,2.3,90,0.6,6.3,31.8,Low
STU03065,6.2,12,11.5,98,3.2,4.6,49.6,Medium
STU03066,4.8,0,3.1,53,7.9,1.6,33.4,Low
STU03067,5.9,0,11.2,77,2.4,6.7,32.1,Low
STU03068,5.4,7,8.2,48,9.1,4.5,56.2,Medium
STU03069,6.5,11,2.6,67,2.2,7.8,41.5,Medium
STU03070,3.8,11,1.8,66,3.5,6.1,47.0,Medium
STU03071,4.8,0,10.4,81,5.2,5.0,40.4,Medium
STU03072,3.5,15,10.6,86,5.0,3.0,56.6,Medium
STU03073,5.5,11,10.8,72,5.1,6.3,54.1,Medium
STU03074,4.8,11,7.8,98,8.0,1.5,51.4,Medium
STU03075,6.3,3,10.1,77,8.6,3.8,40.1,Medium
STU03076,7.9,15,3.9,48,3.8,3.5,42.9,Medium
STU03077,4.3,0,1.4,68,5.0,6.2,34.1,Low
STU03078,6.6,9,5.7,47,1.0,1.4,36.8,Medium
STU03079,8.5,15,5.8,70,6.6,0.7,48.1,Medium
STU03080,6.3,15,11.0,100,4.9,0.5,54.5,Medium
STU03081,5.9,15,2.1,60,8.5,0.8,48.1,Medium
STU03082,5.9,1,9.0,40,1.4,7.9,43.5,Medium
STU03083,8.5,4,4.5,90,2.8,6.2,28.3,Low
STU03084,4.0,4,3.9,78,4.1,7.3,42.7,Medium
STU03085,8.9,14,8.0,58,2.9,7.3,49.4,Medium
STU03086,5.7,11,8.4,92,8.2,2.6,53.9,Medium
STU03087,5.5,5,8.6,44,6.8,7.6,55.3,Medium
STU03088,3.7,14,11.3,66,4.2,4.0,58.2,Medium
STU03089,5.0,2,10.6,62,6.0,5.7,41.5,Medium
STU03090,3.7,1,8.9,88,3.9,1.3,28.2,Low
STU03091,6.6,3,6.1,56,3.1,6.3,40.0,Medium
STU03092,9.5,9,6.5,76,2.1,2.5,35.7,Medium
STU03093,6.1,9,9.6,96,3.7,1.7,37.2,Medium
STU03094,7.3,13,4.6,55,8.1,7.4,60.2,Medium
STU03095,6.2,1,1.1,97,7.5,0.8,21.9,Low
STU03096,3.7,3,3.9,55,6.9,0.9,34.9,Low
STU03097,4.4,3,8.1,64,9.7,3.1,48.3,Medium
STU03098,6.9,10,1.3,79,6.3,1.1,38.8,Medium
STU03099,6.9,4,7.5,82,4.8,3.5,35.9,Medium
STU03100,4.0,15,9.0,92,2.5,3.9,55.0,Medium
STU03101,7.3,3,7.5,68,5.3,0.7,27.9,Low
STU03102,9.1,13,4.5,61,2.7,2.9,34.3,Low
STU03103,4.4,3,10.3,87,9.0,6.2,46.9,Medium
STU03104,6.6,11,1.2,90,5.5,1.6,38.9,Medium
STU03105,9.3,13,11.9,63,8.3,3.1,51.1,Medium
STU03106,3.5,8,3.1,54,5.1,3.0,43.8,Medium
STU03107,4.2,14,7.5,70,8.6,3.9,58.8,Medium
STU03108,4.2,9,1.9,69,1.6,0.8,37.8,Medium
STU03109,5.9,15,2.0,64,1.3,5.1,47.8,Medium
STU03110,7.3,13,12.0,83,6.6,4.0,57.4,Medium
STU03111,6.2,12,5.6,82,9.4,1.3,46.4,Medium
STU03112,9.3,9,3.8,61,9.2,2.2,43.9,Medium
STU03113,5.8,4,1.5,99,6.5,1.2,21.4,Low
STU03114,5.2,15,5.5,94,5.5,1.2,45.8,Medium
STU03115,3.7,9,2.7,88,2.7,1.0,38.4,Medium
STU03116,8.9,5,6.7,86,1.8,1.3,27.2,Low
STU03117,4.2,5,2.5,42,1.9,7.8,36.9,Medium
STU03118,4.1,4,11.4,51,7.1,5.7,57.1,Medium
STU03119,3.7,1,7.6,94,7.0,2.7,31.5,Low
STU03120,5.3,12,9.6,78,1.1,3.8,44.4,Medium
STU03121,3.6,5,7.0,86,8.9,0.6,38.6,Medium
STU03122,5.3,3,2.6,66,1.2,2.0,25.7,Low
STU03123,5.9,7,3.0,50,6.5,2.2,43.7,Medium
STU03124,6.4,0,7.5,60,6.8,5.4,40.7,Medium
STU03125,4.0,2,5.0,90,7.0,3.1,38.1,Medium
STU03126,7.3,9,2.3,82,5.6,6.6,39.6,Medium
STU03127,6.1,13,6.2,77,3.4,0.8,41.5,Medium
STU03128,8.7,13,1.4,63,6.0,0.7,42.1,Medium
STU03129,7.2,0,1.8,58,9.9,7.0,32.1,Low
STU03130,9.0,13,1.4,50,9.1,1.9,45.0,Medium
STU03131,5.0,0,6.6,53,4.9,7.2,37.4,Medium
STU03132,3.8,2,8.3,92,6.0,2.9,39.2,Medium
STU03133,7.9,1,7.2,47,9.8,0.5,30.6,Low
STU03134,6.4,4,11.2,66,8.0,1.4,45.2,Medium
STU03135,3.9,9,6.4,80,6.5,6.9,51.8,Medium
STU03136,9.4,12,1.3,73,9.3,3.6,37.5,Medium
STU03137,7.5,3,10.6,43,2.2,7.6,46.0,Medium
STU03138,6.6,14,6.4,48,6.0,2.0,48.2,Medium
STU03139,8.2,5,2.8,77,5.9,7.3,38.3,Medium
STU03140,3.7,4,1.5,55,6.2,5.6,37.9,Medium
STU03141,4.0,15,6.2,89,4.0,1.5,53.0,Medium
STU03142,5.8,0,8.2,94,9.1,6.7,41.9,Medium
STU03143,5.9,4,8.8,80,8.1,2.7,36.3,Medium
STU03144,7.6,7,5.5,99,2.2,6.1,34.7,Low
STU03145,4.5,13,5.0,98,5.3,4.3,48.7,Medium
STU03146,4.1,3,1.3,80,3.3,4.6,32.7,Low
STU03147,7.9,14,5.1,94,4.1,6.0,48.9,Medium
STU03148,6.9,6,2.5,74,7.6,2.7,30.6,Low
STU03149,6.5,9,8.8,40,4.7,2.3,47.6,Medium
STU03150,4.8,0,10.0,90,4.5,3.1,34.2,Low
STU03151,5.8,8,8.2,73,7.6,3.2,48.8,Medium
STU03152,6.4,6,4.2,92,3.3,6.9,36.2,Medium
STU03153,4.0,2,3.5,78,8.4,2.3,38.2,Medium
STU03154,8.8,2,1.6,76,1.7,7.4,19.3,Low
STU03155,4.2,9,10.1,74,7.2,5.7,61.0,Medium
STU03156,4.3,14,3.3,92,5.6,5.2,53.3,Medium
STU03157,7.4,0,9.8,69,5.7,2.2,30.6,Low
STU03158,9.3,0,9.8,87,8.5,2.8,33.8,Low
STU03159,3.8,7,11.4,93,2.7,3.3,39.4,Medium
STU03160,7.1,10,10.7,60,3.3,2.1,45.5,Medium
STU03161,5.8,14,6.1,43,6.8,6.4,58.6,Medium
STU03162,5.8,5,6.8,61,4.8,7.6,48.1,Medium
STU03163,6.8,2,2.0,61,0.7,4.0,21.7,Low
STU03164,5.7,3,4.2,86,9.0,5.0,39.7,Medium
STU03165,5.4,10,1.4,61,5.2,6.3,46.7,Medium
STU03166,7.1,8,11.8,43,3.1,7.9,53.5,Medium
STU03167,6.9,13,5.7,47,2.1,6.6,47.3,Medium
STU03168,6.4,0,11.8,79,8.1,2.2,40.9,Medium
STU03169,8.5,1,8.6,89,4.3,2.4,25.6,Low
STU03170,8.7,5,10.3,91,4.1,7.6,39.1,Medium
STU03171,3.6,5,9.9,69,8.4,7.4,52.8,Medium
STU03172,7.1,8,2.9,74,6.5,2.7,38.7,Medium
STU03173,9.0,3,1.0,82,3.0,3.0,14.5,Low
STU03174,8.8,0,11.8,74,3.1,6.0,33.7,Low
STU03175,9.1,8,11.2,86,9.8,7.9,49.4,Medium
STU03176,5.4,6,10.8,63,3.5,7.3,51.4,Medium
STU03177,3.9,1,10.3,79,4.5,5.4,38.9,Medium
STU03178,7.4,13,5.3,66,5.8,4.1,47.3,Medium
STU03179,5.3,2,10.6,51,4.6,4.5,41.6,Medium
STU03180,9.4,7,5.0,83,7.7,5.4,33.2,Low
STU03181,5.7,2,7.4,48,5.8,2.1,34.7,Low
STU03182,8.5,11,5.0,81,3.3,3.1,36.0,Medium
STU03183,5.7,6,5.6,93,4.6,1.7,34.8,Low
STU03184,4.8,4,2.7,65,4.1,1.5,29.9,Low
STU03185,5.1,11,1.6,82,1.9,2.9,32.7,Low
STU03186,8.9,12,2.1,78,6.5,0.8,31.7,Low
STU03187,8.3,5,8.2,46,5.4,5.3,39.2,Medium
STU03188,4.6,15,8.9,95,1.1,2.6,45.6,Medium
STU03189,5.0,10,6.1,62,1.7,2.2,42.9,Medium
STU03190,7.6,15,5.2,87,2.2,6.6,45.1,Medium
STU03191,4.5,0,3.1,71,7.2,7.3,41.1,Medium
STU03192,4.6,12,5.6,92,0.9,6.2,40.0,Medium
STU03193,6.7,3,5.3,91,2.7,1.6,28.2,Low
STU03194,9.1,2,4.5,89,0.8,7.8,21.6,Low
STU03195,5.8,1,7.3,54,9.5,1.0,34.5,Low
STU03196,6.1,1,3.6,74,8.0,1.3,25.5,Low
STU03197,7.6,13,6.4,90,7.8,6.5,51.4,Medium
STU03198,4.4,4,2.0,94,1.1,3.6,23.7,Low
STU03199,5.1,2,4.8,94,9.0,7.4,36.4,Medium
STU03200,5.9,0,9.5,82,6.2,3.7,35.4,Medium
STU03201,5.2,3,1.9,44,6.9,6.7,42.8,Medium
STU03202,4.1,9,4.4,55,5.2,6.3,52.5,Medium
STU03203,5.5,3,1.4,83,3.8,3.7,24.4,Low
STU03204,8.2,1,2.8,47,4.5,4.8,31.2,Low
STU03205,8.8,4,11.6,65,5.4,4.4,35.8,Medium
STU03206,5.5,0,9.7,99,7.3,4.2,38.8,Medium
STU03207,8.1,8,8.9,46,0.8,3.5,35.2,Medium
STU03208,6.2,11,4.5,92,4.5,3.1,38.0,Medium
STU03209,7.0,13,8.9,74,5.1,3.6,53.5,Medium
STU03210,4.8,8,3.8,68,5.2,6.3,47.4,Medium
STU03211,7.3,14,4.6,93,3.9,2.6,45.8,Medium
STU03212,4.9,5,11.1,59,5.5,6.3,50.8,Medium
STU03213,8.4,10,8.3,85,3.1,8.0,49.2,Medium
STU03214,4.8,9,7.9,46,3.6,5.6,49.7,Medium
STU03215,8.6,15,7.9,94,7.8,4.5,48.0,Medium
STU03216,7.6,10,3.7,95,9.4,6.9,44.1,Medium
STU03217,4.4,11,4.2,84,2.3,5.1,41.1,Medium
STU03218,4.4,10,6.8,97,6.3,4.4,53.1,Medium
STU03219,4.1,12,11.1,44,7.2,1.5,58.3,Medium
STU03220,6.5,2,7.7,85,2.2,1.0,22.8,Low
STU03221,5.3,3,5.8,97,5.9,3.0,35.6,Medium
STU03222,8.4,4,10.4,56,9.1,5.1,42.7,Medium
STU03223,8.9,0,10.3,77,2.5,4.5,24.7,Low
STU03224,6.0,0,4.5,100,1.4,2.1,16.9,Low
STU03225,5.2,9,8.4,91,6.7,4.2,44.7,Medium
STU03226,9.4,4,10.4,97,3.2,7.9,33.9,Low
STU03227,4.6,7,8.3,100,6.4,5.0,48.0,Medium
STU03228,6.4,2,11.3,94,9.8,7.3,43.3,Medium
STU03229,8.8,14,9.1,82,8.0,0.5,50.0,Medium
STU03230,8.2,13,5.9,95,2.7,6.2,46.0,Medium
STU03231,9.1,15,6.7,45,2.6,2.4,49.9,Medium
STU03232,6.2,6,6.7,54,5.4,1.3,40.9,Medium
STU03233,8.4,2,11.6,89,1.9,6.7,27.5,Low
STU03234,4.1,10,7.4,44,0.8,7.9,49.3,Medium
STU03235,7.2,12,11.2,90,7.3,4.2,57.1,Medium
STU03236,7.9,8,7.6,50,8.3,1.6,40.8,Medium
STU03237,8.4,13,2.9,98,0.6,2.4,31.0,Low
STU03238,8.0,14,5.3,43,9.9,4.4,59.5,Medium
STU03239,5.7,2,5.7,40,1.7,5.5,33.3,Low
STU03240,7.1,15,11.0,66,7.0,2.8,61.4,Medium
STU03241,9.2,7,1.5,64,4.9,2.9,25.3,Low
STU03242,6.8,0,3.7,76,3.6,2.8,22.8,Low
STU03243,6.8,6,1.7,41,9.2,6.0,46.5,Medium
STU03244,8.0,13,10.2,47,6.9,2.3,58.7,Medium
STU03245,8.0,14,1.6,58,2.9,6.7,49.1,Medium
STU03246,6.7,6,11.7,40,0.6,0.8,40.1,Medium
STU03247,4.5,1,11.1,82,6.2,2.9,38.9,Medium
STU03248,9.2,9,2.4,66,0.8,4.3,26.1,Low
STU03249,3.6,3,3.8,85,7.0,6.2,36.4,Medium
STU03250,7.1,5,6.6,72,7.4,1.5,40.5,Medium
STU03251,5.8,4,3.0,42,2.1,7.0,35.5,Medium
STU03252,6.5,10,1.8,81,2.3,7.6,37.1,Medium
STU03253,6.3,14,3.7,82,4.4,3.7,43.1,Medium
STU03254,5.7,1,11.8,63,7.5,4.0,41.6,Medium
STU03255,7.1,2,7.8,48,8.9,4.1,40.8,Medium
STU03256,7.4,15,10.3,97,3.5,4.6,54.2,Medium
STU03257,9.4,2,11.9,100,3.3,5.1,32.0,Low
STU03258,6.7,12,11.8,85,4.5,1.8,48.8,Medium
STU03259,4.7,14,3.7,88,8.3,6.5,56.2,Medium
STU03260,9.2,6,3.8,64,1.4,1.9,21.7,Low
STU03261,4.5,4,2.1,75,7.0,2.1,30.7,Low
STU03262,4.8,1,6.5,89,2.9,1.2,29.8,Low
STU03263,8.0,13,10.6,43,2.5,3.2,46.2,Medium
STU03264,4.8,14,6.4,88,3.0,6.5,50.0,Medium
STU03265,7.2,3,5.9,79,5.6,6.1,38.5,Medium
STU03266,8.8,2,6.3,78,7.1,5.3,30.2,Low
STU03267,6.6,14,2.4,57,1.0,7.4,48.8,Medium
STU03268,3.5,1,4.1,82,6.9,6.6,41.6,Medium
STU03269,7.3,1,3.7,61,8.2,3.3,29.6,Low
STU03270,5.1,0,10.1,63,0.9,4.9,33.5,Low
STU03271,8.1,14,4.7,95,3.7,7.4,41.5,Medium
STU03272,8.5,9,2.8,42,7.8,7.2,42.7,Medium
STU03273,5.7,12,8.0,61,9.0,5.4,61.6,Medium
STU03274,7.1,1,10.3,46,9.7,7.2,46.5,Medium
STU03275,6.5,6,3.2,61,9.9,7.7,44.3,Medium
STU03276,9.5,15,6.3,67,9.9,0.7,52.0,Medium
STU03277,5.0,2,5.2,56,4.4,1.9,34.3,Low
STU03278,6.1,3,3.4,42,2.7,3.1,26.7,Low
STU03279,5.6,2,2.2,54,9.2,4.1,41.4,Medium
STU03280,6.1,5,3.7,65,3.7,6.6,40.6,Medium
STU03281,7.3,6,8.3,59,5.2,4.4,44.7,Medium
STU03282,4.6,4,5.2,42,8.1,3.2,48.9,Medium
STU03283,8.2,5,6.1,59,6.4,4.7,36.4,Medium
STU03284,7.1,14,7.1,90,6.9,3.6,54.1,Medium
STU03285,5.8,8,6.6,60,4.5,3.0,45.2,Medium
STU03286,5.8,12,4.2,74,4.7,7.5,49.5,Medium
STU03287,6.0,14,5.2,62,9.3,1.2,56.1,Medium
STU03288,7.6,3,4.5,68,0.7,1.2,25.2,Low
STU03289,8.8,13,4.9,62,4.5,4.6,45.2,Medium
STU03290,8.4,10,1.7,50,9.7,7.2,52.5,Medium
STU03291,8.1,11,1.8,65,1.4,5.3,36.9,Medium
STU03292,7.4,12,9.2,40,8.8,2.7,61.1,Medium
STU03293,4.9,5,10.0,87,6.2,2.2,40.0,Medium
STU03294,3.7,5,1.3,95,4.6,7.4,41.8,Medium
STU03295,7.4,11,6.1,44,4.1,5.0,48.1,Medium
STU03296,8.3,2,5.9,66,2.3,6.4,26.7,Low
STU03297,8.3,9,6.8,77,2.2,4.4,39.0,Medium
STU03298,7.6,1,9.6,66,2.1,2.9,29.0,Low
STU03299,9.1,4,3.0,96,3.2,1.3,13.5,Low
STU03300,4.4,9,7.5,42,6.8,2.8,55.8,Medium
STU03301,5.2,1,4.9,89,9.6,1.2,30.5,Low
STU03302,7.8,9,5.1,93,2.3,7.7,39.5,Medium
STU03303,6.3,13,2.0,65,8.2,1.3,45.0,Medium
STU03304,6.6,0,8.5,62,6.6,1.4,28.5,Low
STU03305,4.8,14,4.4,45,0.9,5.4,52.3,Medium
STU03306,5.5,2,10.5,81,7.8,3.8,44.3,Medium
STU03307,7.1,13,11.4,41,7.6,2.2,62.9,Medium
STU03308,3.5,4,4.0,85,4.1,5.0,35.7,Medium
STU03309,9.0,2,3.2,88,4.1,7.1,30.0,Low
STU03310,5.6,3,7.9,86,1.0,7.1,30.7,Low
STU03311,4.9,10,3.2,82,6.9,6.2,48.8,Medium
STU03312,5.7,1,4.8,43,2.9,1.8,30.1,Low
STU03313,6.5,2,5.5,69,2.0,4.9,33.5,Low
STU03314,5.5,10,10.1,83,7.3,7.4,53.7,Medium
STU03315,8.1,7,3.9,44,1.1,0.8,31.7,Low
STU03316,6.8,2,6.1,70,3.1,5.9,35.7,Medium
STU03317,6.7,4,6.4,92,3.8,2.2,32.3,Low
STU03318,7.3,11,11.0,49,9.3,5.2,63.6,Medium
STU03319,9.4,11,4.3,63,3.6,4.3,34.6,Low
STU03320,6.9,1,3.0,46,1.4,3.3,28.3,Low
STU03321,7.6,6,6.0,78,4.1,6.5,36.1,Medium
STU03322,8.5,0,5.9,78,9.4,5.8,31.6,Low
STU03323,4.6,15,1.1,44,4.3,7.6,55.1,Medium
STU03324,7.2,8,2.8,83,1.7,6.8,34.5,Low
STU03325,6.7,10,7.9,53,8.2,3.6,49.9,Medium
STU03326,4.1,13,1.9,55,3.6,1.7,44.6,Medium
STU03327,3.7,8,2.2,71,9.2,5.8,54.7,Medium
STU03328,4.6,2,10.5,43,7.0,7.8,55.6,Medium
STU03329,3.6,8,4.7,73,2.7,7.2,44.6,Medium
STU03330,4.6,0,10.8,69,3.5,7.6,41.3,Medium
STU03331,3.8,14,2.2,60,7.6,4.5,53.2,Medium
STU03332,8.3,3,5.0,55,0.9,1.3,18.8,Low
STU03333,6.7,2,5.3,47,4.7,4.9,37.6,Medium
STU03334,5.6,13,10.6,83,5.8,0.7,54.9,Medium
STU03335,7.5,0,11.5,78,9.3,5.1,42.6,Medium
STU03336,3.6,6,4.2,54,3.1,1.1,38.1,Medium
STU03337,4.6,2,10.4,93,8.2,1.0,40.5,Medium
STU03338,4.1,0,6.4,65,0.9,5.8,29.6,Low
STU03339,3.9,2,3.0,44,7.1,3.8,42.4,Medium
STU03340,6.1,8,7.2,60,4.0,5.4,45.4,Medium
STU03341,8.6,2,8.4,73,2.0,2.2,21.3,Low
STU03342,6.3,0,5.8,73,3.1,2.6,24.4,Low
STU03343,7.9,0,5.7,86,7.1,2.7,21.7,Low
STU03344,6.2,3,10.8,99,1.8,6.7,35.9,Medium
STU03345,9.2,6,10.5,95,4.8,4.8,40.8,Medium
STU03346,8.0,10,9.6,48,6.9,5.9,56.1,Medium
STU03347,5.4,2,8.1,43,3.2,1.2,29.5,Low
STU03348,5.7,9,11.6,88,6.4,3.5,50.7,Medium
STU03349,8.1,11,5.9,63,0.9,1.2,33.4,Low
STU03350,8.2,3,6.5,45,6.9,1.6,30.8,Low
STU03351,7.6,13,4.3,57,8.9,3.8,50.8,Medium
STU03352,6.6,10,1.4,70,3.7,0.9,30.1,Low
STU03353,6.5,1,5.2,91,7.5,0.6,21.6,Low
STU03354,5.0,14,2.9,83,8.9,4.9,58.6,Medium
STU03355,7.1,1,1.2,93,0.7,2.6,8.5,Low
STU03356,8.7,10,8.5,64,3.0,4.5,44.8,Medium
STU03357,5.1,5,11.6,54,4.8,6.9,49.4,Medium
STU03358,9.4,14,4.7,49,9.2,8.0,56.8,Medium
STU03359,8.6,10,9.8,40,5.4,7.2,52.6,Medium
STU03360,6.2,10,10.4,59,5.3,2.7,47.8,Medium
STU03361,6.8,15,10.2,42,2.4,2.0,50.2,Medium
STU03362,4.0,4,11.0,83,3.0,5.0,40.2,Medium
STU03363,6.1,3,9.2,62,4.1,2.1,39.1,Medium
STU03364,7.9,1,5.1,41,5.2,2.2,26.8,Low
STU03365,3.9,10,2.5,82,3.1,4.3,44.1,Medium
STU03366,6.0,6,9.3,89,6.1,7.3,42.6,Medium
STU03367,8.2,15,10.5,48,7.6,2.2,60.9,Medium
STU03368,8.6,2,7.9,99,6.9,0.5,29.6,Low
